homega	previousyeartableposition	homegf	currenttableposition	awaygf	awayga	teamshortform	hasachievedobjective	yettowin	unbeatenallcomps	unbeatenleague	champion	leagueid	prevleagueid	highestpossible	teamform	highestprobable	homewins	artificialkey	nummatchesplayed	teamid	grouping	awaywins	objective	points	actualvsexpectations	homelosses	unbeatenhome	lastgameresult	unbeatenaway	awaylosses	awaydraws	homedraws	teamlongform
4	4	16	4	9	10	80	0	0	0	0	0	7	7	0	22202	9	6	40	15	111052	9	3	3	30	0	0	1	0	0	3	2	1	63
7	11	13	11	4	6	60	0	0	0	0	0	7	7	0	12121	8	5	41	15	1629	8	0	8	23	1	1	0	1	0	1	6	2	60
12	4	9	20	10	12	6	0	0	0	0	0	7	56	0	1	3	3	42	15	1598	3	2	3	18	1	4	0	1	0	3	2	1	33
0	8	0	8	0	0	0	0	0	0	0	0	56	7	0	0	0	0	43	0	112001	0	0	0	0	0	0	0	0	0	0	0	0	0
6	9	5	9	7	9	33	0	0	0	0	0	7	7	0	2011	3	2	44	15	113222	3	3	3	20	1	2	0	1	0	3	2	3	33
6	3	5	19	3	9	53	0	0	0	0	0	56	56	0	12102	5	1	45	13	112392	5	1	9	10	4	2	0	0	0	5	0	4	33
0	6	0	6	0	0	0	0	0	0	0	0	7	7	0	0	0	0	46	0	112472	0	0	0	0	0	0	0	0	0	0	0	0	0
12	2	3	18	9	15	0	0	1	0	0	0	56	56	0	0	5	0	47	15	112572	5	0	5	4	2	6	0	2	0	5	3	1	3
0	1	0	17	0	0	0	0	0	0	0	0	7	56	0	0	0	0	48	0	112990	0	0	0	0	0	0	0	0	0	0	0	0	0
11	15	8	15	6	6	53	0	0	0	0	0	7	7	0	20211	5	1	49	14	115530	5	1	5	14	2	3	0	1	0	1	5	3	36
0	1	0	1	0	0	0	0	0	0	0	1	10	10	0	0	0	0	50	0	245	0	0	0	0	0	0	0	0	0	0	0	0	0
0	5	0	6	0	0	0	0	0	0	0	0	10	10	0	0	0	0	51	0	246	8	0	0	0	0	0	0	0	0	0	0	0	0
0	2	0	12	0	0	0	0	0	0	0	0	10	10	0	0	0	0	52	0	247	3	0	0	0	0	0	0	0	0	0	0	0	0
0	11	0	7	0	0	0	0	0	0	0	0	10	10	0	0	0	0	53	0	634	8	0	3	0	0	0	0	0	0	0	0	0	0
0	16	0	14	0	0	0	0	0	0	0	0	10	10	0	0	0	0	54	0	647	3	0	5	0	0	0	0	0	0	0	0	0	0
0	6	0	5	0	0	0	0	0	0	0	0	10	10	0	0	0	0	55	0	1903	8	0	10	0	0	0	0	0	0	0	0	0	0
0	15	0	13	0	0	0	0	0	0	0	0	10	10	0	0	0	0	56	0	1905	3	0	5	0	0	0	0	0	0	0	0	0	0
0	3	0	2	0	0	0	0	0	0	0	0	10	10	0	0	0	0	57	0	1906	10	0	10	0	0	0	0	0	0	0	0	0	0
0	14	0	18	0	0	0	0	0	0	0	0	10	10	0	0	0	0	58	0	1907	4	0	3	0	0	0	0	0	0	0	0	0	0
0	10	0	4	0	0	0	0	0	0	0	0	10	10	0	0	0	0	59	0	1908	10	0	3	0	0	0	0	0	0	0	0	0	0
0	4	0	17	0	0	0	0	0	0	0	0	10	10	0	0	0	0	60	0	1909	4	0	8	0	0	0	0	0	0	0	0	0	0
0	18	0	10	0	0	0	0	0	0	0	0	10	10	0	0	0	0	61	0	1910	3	0	5	0	0	0	0	0	0	0	0	0	0
0	12	0	15	0	0	0	0	0	0	0	0	10	10	0	0	0	0	62	0	1913	3	0	8	0	0	0	0	0	0	0	0	0	0
0	13	0	11	0	0	0	0	0	0	0	0	10	10	0	0	0	0	63	0	1914	3	0	3	0	0	0	0	0	0	0	0	0	0
0	7	0	3	0	0	0	0	0	0	0	0	10	10	0	0	0	0	64	0	1915	10	0	8	0	0	0	0	0	0	0	0	0	0
0	17	0	8	0	0	0	0	0	0	0	0	10	10	0	0	0	0	65	0	100632	8	0	5	0	0	0	0	0	0	0	0	0	0
0	9	0	9	0	0	0	0	0	0	0	0	10	10	0	0	0	0	66	0	100634	3	0	3	0	0	0	0	0	0	0	0	0	0
0	8	0	16	0	0	0	0	0	0	0	0	10	10	0	0	0	0	67	0	100646	5	0	3	0	0	0	0	0	0	0	0	0	0
0	8	0	1	0	0	0	0	0	0	0	0	13	13	0	0	0	0	68	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
0	11	0	2	0	0	0	0	0	0	0	0	13	13	0	0	0	0	69	0	2	1	0	2	0	0	0	0	0	0	0	0	0	0
0	4	0	6	0	0	0	0	0	0	0	0	13	13	0	0	0	0	70	0	5	3	0	1	0	0	0	0	0	0	0	0	0	0
0	10	0	8	0	0	0	0	0	0	0	0	13	13	0	0	0	0	71	0	7	3	0	2	0	0	0	0	0	0	0	0	0	0
0	9	0	9	0	0	0	0	0	0	0	0	14	13	0	0	0	0	72	0	8	3	0	3	0	0	0	0	0	0	0	0	0	0
0	3	0	11	0	0	0	0	0	0	0	0	13	13	0	0	0	0	73	0	9	3	0	0	0	0	0	0	0	0	0	0	0	0
0	1	0	12	0	0	0	0	0	0	0	1	13	13	0	0	0	0	74	0	10	3	0	0	0	0	0	0	0	0	0	0	0	0
0	2	0	13	0	0	0	0	0	0	0	0	13	13	0	0	0	0	75	0	11	3	0	0	0	0	0	0	0	0	0	0	0	0
0	12	0	14	0	0	0	0	0	0	0	0	13	13	0	0	0	0	76	0	13	3	0	3	0	0	0	0	0	0	0	0	0	0
0	15	0	16	0	0	0	0	0	0	0	0	14	13	0	0	0	0	77	0	17	5	0	3	0	0	0	0	0	0	0	0	0	0
0	7	0	17	0	0	0	0	0	0	0	0	13	13	0	0	0	0	78	0	18	5	0	1	0	0	0	0	0	0	0	0	0	0
0	6	0	19	0	0	0	0	0	0	0	0	13	13	0	0	0	0	79	0	19	4	0	2	0	0	0	0	0	0	0	0	0	0
0	5	0	10	0	0	0	0	0	0	0	0	14	13	0	0	0	0	80	0	95	3	0	1	0	0	0	0	0	0	0	0	0	0
0	13	0	20	0	0	0	0	0	0	0	0	13	13	0	0	0	0	81	0	110	4	0	3	0	0	0	0	0	0	0	0	0	0
0	1	0	15	0	0	0	0	0	0	0	1	13	14	0	0	0	0	82	0	1792	5	0	4	0	0	0	0	0	0	0	0	0	0
0	2	0	18	0	0	0	0	0	0	0	0	13	14	0	0	0	0	83	0	1795	4	0	4	0	0	0	0	0	0	0	0	0	0
0	17	0	5	0	0	0	0	0	0	0	0	13	13	0	0	0	0	84	0	1796	2	0	4	0	0	0	0	0	0	0	0	0	0
0	14	0	7	0	0	0	0	0	0	0	0	13	13	0	0	0	0	85	0	1799	3	0	4	0	0	0	0	0	0	0	0	0	0
0	16	0	4	0	0	0	0	0	0	0	0	13	13	0	0	0	0	86	0	1808	1	0	3	0	0	0	0	0	0	0	0	0	0
0	3	0	3	0	0	0	0	0	0	0	0	13	14	0	0	0	0	87	0	1925	1	0	4	0	0	0	0	0	0	0	0	0	0
1	15	2	4	0	0	100	0	0	0	1	0	14	14	6	2	7	1	88	1	3	7	0	3	3	0	0	1	0	1	0	0	0	100
0	10	0	16	1	1	33	0	1	0	1	0	14	14	6	1	3	0	89	1	12	3	0	7	1	3	0	1	1	1	0	1	0	33
0	17	0	20	1	2	0	0	1	0	0	0	13	14	6	0	5	0	90	1	14	5	0	7	0	4	0	1	2	0	1	0	0	0
1	9	1	18	0	0	33	0	1	0	1	0	14	14	6	1	5	0	91	1	15	5	0	8	1	2	0	1	1	1	0	0	1	33
0	18	0	6	1	0	100	0	0	0	1	0	14	14	6	2	7	0	92	1	88	7	1	3	3	0	0	1	0	1	0	0	0	100
1	21	1	13	0	0	33	0	1	0	1	0	14	14	6	1	3	0	93	1	91	3	0	3	1	2	0	1	1	1	0	0	1	33
0	11	0	17	1	1	33	0	1	0	1	0	14	14	6	1	5	0	94	1	97	5	0	8	1	2	0	1	1	1	0	1	0	33
0	19	0	8	2	2	33	0	1	0	1	0	14	13	6	1	8	0	95	1	109	8	0	6	1	3	0	1	1	1	0	1	0	33
1	18	1	14	0	0	33	0	1	0	1	0	14	13	6	1	3	0	96	1	144	3	0	6	1	4	0	1	1	1	0	0	1	33
0	7	0	19	2	3	0	0	1	0	0	0	14	14	6	0	5	0	97	1	1793	5	0	7	0	4	0	1	2	0	1	0	0	0
1	20	0	22	0	0	0	0	1	0	0	0	13	13	6	0	4	0	98	1	1794	4	0	6	0	4	1	0	2	1	0	0	0	0
1	16	2	5	0	0	100	0	0	0	1	0	14	14	6	2	7	1	99	1	1800	7	0	3	3	0	0	1	0	1	0	0	0	100
4	13	1	23	0	0	0	0	1	0	0	0	14	14	6	0	4	0	100	1	1801	4	0	8	0	3	1	0	2	1	0	0	0	0
2	14	3	3	0	0	100	0	0	0	1	0	14	14	6	2	7	1	101	1	1806	7	0	3	3	0	0	1	0	1	0	0	0	100
1	19	1	11	0	0	33	0	1	0	1	0	14	14	6	1	3	0	102	1	1919	3	0	7	1	3	0	1	1	1	0	0	1	33
0	12	3	2	0	0	100	0	0	0	1	0	13	14	6	2	6	1	103	1	1923	6	0	4	3	0	0	1	0	1	0	0	0	100
0	3	0	10	1	1	33	0	1	0	1	0	14	60	6	1	3	0	104	1	1926	3	0	4	1	0	0	1	1	1	0	1	0	33
0	5	0	9	1	1	33	0	1	0	1	0	14	14	6	1	3	0	105	1	1932	3	0	8	1	1	0	1	1	1	0	1	0	33
0	2	0	24	0	3	0	0	1	0	0	0	14	60	6	0	4	0	106	1	1938	4	0	4	0	2	0	1	2	0	1	0	0	0
0	20	0	15	1	1	33	0	1	0	1	0	14	14	6	1	3	0	107	1	1939	3	0	3	1	2	0	1	1	1	0	1	0	33
2	6	2	7	0	0	33	0	1	0	1	0	14	14	6	1	8	0	108	1	1943	8	0	6	1	3	0	1	1	1	0	0	1	33
0	1	0	1	4	1	100	0	0	0	1	1	14	60	6	2	6	0	109	1	1952	6	1	4	3	0	0	1	0	1	0	0	0	100
0	4	0	21	1	2	0	0	1	0	0	0	14	14	6	0	5	0	110	1	1960	5	0	7	0	4	0	1	2	0	1	0	0	0
1	8	1	12	0	0	33	0	1	0	1	0	14	14	6	1	3	0	111	1	1961	3	0	7	1	3	0	1	1	1	0	0	1	33
2	12	0	19	0	0	0	0	1	0	0	0	16	16	0	0	4	0	112	1	59	4	0	3	0	3	1	0	2	1	0	0	0	0
0	7	0	10	1	1	33	0	1	1	1	0	16	16	0	1	3	0	113	1	64	3	0	3	1	1	0	1	1	1	0	1	0	33
0	1	0	6	3	3	33	0	1	1	1	1	16	16	0	1	3	0	114	1	65	3	0	1	1	3	0	1	1	1	0	1	0	33
1	4	1	12	0	0	33	0	1	1	1	0	16	16	0	1	3	0	115	1	66	3	0	0	1	4	0	1	1	1	0	0	1	33
3	10	3	7	0	0	33	0	1	1	1	0	16	16	0	1	3	0	116	1	68	3	0	3	1	1	0	1	1	1	0	0	1	33
1	3	1	16	0	1	16	0	1	0	0	0	16	16	0	10	5	0	117	2	69	5	0	0	1	4	0	1	2	0	1	0	1	16
3	8	2	17	0	0	0	0	1	0	0	0	16	16	0	0	5	0	118	1	70	5	0	2	0	3	1	0	2	1	0	0	0	0
0	18	0	8	1	1	33	0	1	1	1	0	16	16	0	1	3	0	119	1	71	3	0	4	1	0	0	1	1	1	0	1	0	33
0	9	0	14	0	0	33	0	1	1	1	0	16	16	0	1	3	0	120	1	72	3	0	2	1	2	0	1	1	1	0	0	1	33
0	2	0	5	2	1	100	0	0	1	1	0	16	16	0	2	2	0	121	1	73	2	1	0	3	3	0	1	0	1	0	0	0	100
1	6	1	11	0	0	33	0	1	1	1	0	16	16	0	1	3	0	122	1	74	3	0	2	1	2	0	1	1	1	0	0	1	33
2	15	0	20	0	0	0	0	1	0	0	0	16	16	0	0	4	0	123	1	76	4	0	3	0	3	1	0	2	1	0	0	0	0
0	16	1	1	1	1	66	0	0	1	1	0	16	16	0	12	2	1	124	2	217	0	0	4	4	0	0	1	0	1	0	1	0	66
0	5	0	4	3	2	100	0	0	1	1	0	16	16	0	2	1	0	125	1	219	2	1	1	3	2	0	1	0	1	0	0	0	100
2	1	1	18	0	0	0	0	1	0	0	1	16	17	0	0	5	0	126	1	294	5	0	4	0	1	1	0	2	1	0	0	0	0
0	17	0	9	1	1	33	0	1	1	1	0	16	16	0	1	3	0	127	1	378	3	0	4	1	0	0	1	1	1	0	1	0	33
0	14	0	15	0	0	33	0	1	1	1	0	16	16	0	1	5	0	128	1	379	5	0	3	1	2	0	1	1	1	0	1	0	33
0	13	0	3	2	0	100	0	0	1	1	0	16	16	0	2	1	0	129	1	1530	1	1	3	3	0	0	1	0	1	0	0	0	100
0	2	0	2	2	0	100	0	0	1	1	0	16	17	0	2	0	0	130	1	1815	1	1	4	3	0	0	1	0	1	0	0	0	100
1	11	1	13	0	0	33	0	1	1	1	0	16	16	0	1	3	0	131	1	1819	3	0	2	1	2	0	1	1	1	0	0	1	33
0	6	3	4	2	1	77	0	0	1	1	0	17	17	6	221	7	1	132	3	57	7	1	7	7	1	0	1	1	1	0	0	1	77
2	19	2	14	0	0	33	0	1	1	1	0	17	17	6	11	3	0	133	2	58	3	0	5	2	0	0	1	1	1	0	0	2	33
1	9	1	12	0	0	33	0	1	1	1	0	17	17	6	111	3	0	134	3	62	3	0	8	3	2	0	1	1	1	0	2	1	33
2	17	5	5	1	0	66	0	0	0	0	0	17	17	6	220	7	1	135	3	210	7	1	8	6	0	1	0	2	1	0	0	0	66
1	19	2	3	4	1	77	0	0	1	1	0	17	16	6	122	7	1	136	3	224	7	1	6	7	2	0	1	0	1	0	1	0	77
2	7	0	6	5	2	66	0	0	0	0	0	17	17	6	202	8	0	137	3	226	8	2	8	6	1	1	0	0	1	0	0	0	66
1	13	3	7	2	2	55	0	0	1	1	0	17	17	6	121	3	1	138	3	614	8	0	3	5	0	0	1	1	1	0	2	0	55
2	12	1	9	2	0	44	0	0	0	0	0	17	17	6	120	3	0	139	3	1738	3	1	7	4	3	1	0	2	1	0	0	1	44
4	4	0	19	0	3	11	0	1	0	0	0	17	17	6	1	4	0	140	3	1805	4	0	7	1	4	1	0	1	0	1	0	1	11
2	3	2	2	5	0	77	0	0	1	1	0	17	17	6	122	6	0	141	3	1809	6	2	6	7	1	0	1	0	1	0	0	1	77
1	18	0	10	2	1	44	0	0	0	0	0	17	17	6	102	3	0	142	3	1813	3	1	3	4	1	1	0	0	1	0	1	0	44
5	10	2	20	1	3	0	0	1	0	0	0	17	17	6	0	4	0	143	3	1816	4	0	8	0	4	2	0	2	0	1	0	0	0
4	8	0	18	2	3	11	0	1	0	0	0	17	17	6	1	5	0	144	3	1823	5	0	7	1	4	1	0	1	0	1	1	0	11
2	14	2	13	0	1	33	0	0	0	0	0	17	17	6	200	3	1	145	3	110321	3	0	5	3	0	1	0	2	0	1	0	0	33
3	11	0	15	1	1	22	0	1	0	0	0	17	17	6	110	5	0	146	3	110456	5	0	3	2	2	1	0	2	1	0	1	1	22
4	20	2	17	1	2	11	0	1	0	0	0	17	16	6	1	5	0	147	3	110569	5	0	6	1	4	1	0	1	0	1	0	1	11
3	16	2	16	1	2	11	0	1	0	0	0	17	17	6	100	5	0	148	3	111276	5	0	5	1	1	1	0	2	0	1	0	1	11
0	15	1	11	1	5	44	0	0	0	0	0	17	17	6	21	3	1	149	3	111659	3	0	5	4	0	0	1	1	0	1	1	0	44
1	5	2	1	6	1	100	0	0	1	1	0	17	17	6	222	6	1	150	3	111817	6	2	8	9	0	0	1	0	1	0	0	0	100
0	20	0	8	4	2	66	0	0	1	1	0	17	17	6	12	8	0	151	2	112552	3	1	5	4	0	0	1	0	1	0	1	0	66
0	1	0	18	0	0	0	0	0	0	0	1	19	19	0	0	0	0	152	0	21	4	0	0	0	0	0	0	0	0	0	0	0	0
0	3	0	6	0	0	0	0	0	0	0	0	19	19	0	0	0	0	153	0	22	2	0	1	0	0	0	0	0	0	0	0	0	0
0	8	0	7	0	0	0	0	0	0	0	0	19	19	0	0	0	0	154	0	23	3	0	2	0	0	0	0	0	0	0	0	0	0
0	10	0	12	0	0	0	0	0	0	0	0	19	19	0	0	0	0	155	0	25	3	0	3	0	0	0	0	0	0	0	0	0	0
0	16	0	1	0	0	0	0	0	0	0	0	19	19	0	0	0	0	156	0	31	0	0	4	0	0	0	0	0	0	0	0	0	0
0	6	0	5	0	0	0	0	0	0	0	0	19	19	0	0	0	0	157	0	32	2	0	1	0	0	0	0	0	0	0	0	0	0
0	9	0	15	0	0	0	0	0	0	0	0	19	19	0	0	0	0	158	0	36	5	0	3	0	0	0	0	0	0	0	0	0	0
0	15	0	4	0	0	0	0	0	0	0	0	19	19	0	0	0	0	159	0	159	1	0	4	0	0	0	0	0	0	0	0	0	0
0	1	0	16	0	0	0	0	0	0	0	1	19	20	0	0	0	0	160	0	160	5	0	4	0	0	0	0	0	0	0	0	0	0
0	2	0	13	0	0	0	0	0	0	0	0	19	20	0	0	0	0	161	0	165	3	0	4	0	0	0	0	0	0	0	0	0	0
0	14	0	10	0	0	0	0	0	0	0	0	19	19	0	0	0	0	162	0	166	3	0	2	0	0	0	0	0	0	0	0	0	0
0	12	0	3	0	0	0	0	0	0	0	0	19	19	0	0	0	0	163	0	169	1	0	4	0	0	0	0	0	0	0	0	0	0
0	4	0	17	0	0	0	0	0	0	0	0	19	19	0	0	0	0	164	0	175	4	0	2	0	0	0	0	0	0	0	0	0	0
0	5	0	8	0	0	0	0	0	0	0	0	19	19	0	0	0	0	165	0	1824	3	0	2	0	0	0	0	0	0	0	0	0	0
0	7	0	2	0	0	0	0	0	0	0	0	19	19	0	0	0	0	166	0	1831	1	0	3	0	0	0	0	0	0	0	0	0	0
0	11	0	14	0	0	0	0	0	0	0	0	19	19	0	0	0	0	167	0	10029	5	0	3	0	0	0	0	0	0	0	0	0	0
0	13	0	9	0	0	0	0	0	0	0	0	19	19	0	0	0	0	168	0	100409	3	0	3	0	0	0	0	0	0	0	0	0	0
0	2	0	11	0	0	0	0	0	0	0	0	19	19	0	0	0	0	169	0	112172	3	0	1	0	0	0	0	0	0	0	0	0	0
3	2	1	10	3	0	50	0	0	0	0	0	20	2076	6	2	3	0	170	2	27	3	1	5	3	0	1	0	0	1	0	0	0	50
1	4	1	5	3	1	66	0	0	1	1	0	20	20	6	21	8	0	171	2	28	8	1	6	4	3	0	1	1	1	0	0	1	66
3	18	1	8	3	0	50	0	0	0	0	0	20	19	6	2	3	0	172	2	34	3	1	6	3	4	1	0	0	1	0	0	0	50
1	17	1	6	3	2	66	0	0	1	1	0	20	19	6	12	8	0	173	2	38	8	1	6	4	3	0	1	0	1	0	0	1	66
0	11	0	11	2	2	33	0	1	1	1	0	20	20	6	11	3	0	174	2	171	3	0	3	2	1	0	1	1	1	0	1	1	33
3	13	0	14	1	1	16	0	1	0	0	0	20	20	6	10	5	0	175	2	485	5	0	7	1	4	1	0	2	1	0	1	0	16
0	1	3	3	1	1	66	0	0	1	1	1	20	2076	6	21	7	1	176	2	503	7	0	5	4	0	0	1	1	1	0	1	0	66
0	12	0	13	0	0	33	0	1	1	1	0	20	20	6	11	3	0	177	2	506	3	0	5	2	0	0	1	1	1	0	1	1	33
0	14	3	2	2	0	100	0	0	1	1	0	20	20	6	22	6	1	178	2	543	6	1	5	6	0	0	1	0	1	0	0	0	100
3	3	0	18	0	3	0	0	1	0	0	0	20	20	6	0	5	0	179	2	576	5	0	8	0	4	1	0	2	0	1	0	0	0
0	6	3	1	3	1	100	0	0	1	1	0	20	20	6	22	6	1	180	2	1832	6	1	3	6	0	0	1	0	1	0	0	0	100
2	9	2	12	0	0	33	0	1	1	1	0	20	20	6	11	3	0	181	2	10030	3	0	3	2	1	0	1	1	1	0	1	1	33
2	15	0	16	0	3	0	0	1	0	0	0	20	20	6	0	5	0	182	2	110178	5	0	5	0	1	1	0	2	0	1	0	0	0
0	10	3	4	0	0	66	0	0	1	1	0	20	20	6	21	8	1	183	2	110329	8	0	3	4	0	0	1	1	1	0	1	0	66
2	7	0	17	0	3	0	0	1	0	0	0	20	20	6	0	5	0	184	2	110502	5	0	3	0	3	1	0	2	0	1	0	0	0
3	5	2	9	2	0	50	0	0	0	0	0	20	20	6	20	3	0	185	2	110636	3	1	7	3	3	1	0	2	1	0	0	0	50
0	8	0	7	2	1	66	0	0	1	1	0	20	20	6	12	3	0	186	2	111235	3	1	8	4	2	0	1	0	1	0	0	1	66
2	3	1	15	0	3	0	0	1	0	0	0	20	2076	6	0	5	0	187	2	111239	5	0	5	0	1	1	0	2	0	1	0	0	0
0	1	0	7	0	0	0	0	0	0	0	1	31	31	0	0	0	0	188	0	44	3	0	0	0	0	0	0	0	0	0	0	0	0
0	2	0	10	0	0	0	0	0	0	0	0	31	31	0	0	0	0	189	0	47	3	0	0	0	0	0	0	0	0	0	0	0	0
0	5	0	11	0	0	0	0	0	0	0	0	31	31	0	0	0	0	190	0	48	3	0	1	0	0	0	0	0	0	0	0	0	0
0	17	0	17	0	0	0	0	0	0	0	0	31	31	0	0	0	0	191	0	54	5	0	3	0	0	0	0	0	0	0	0	0	0
0	14	0	18	0	0	0	0	0	0	0	0	31	31	0	0	0	0	192	0	55	4	0	3	0	0	0	0	0	0	0	0	0	0
0	12	0	2	0	0	0	0	0	0	0	0	31	31	0	0	0	0	193	0	189	1	0	3	0	0	0	0	0	0	0	0	0	0
0	20	0	19	0	0	0	0	0	0	0	0	31	31	0	0	0	0	194	0	205	4	0	4	0	0	0	0	0	0	0	0	0	0
0	10	0	20	0	0	0	0	0	0	0	0	31	31	0	0	0	0	195	0	206	4	0	3	0	0	0	0	0	0	0	0	0	0
0	18	0	4	0	0	0	0	0	0	0	0	31	31	0	0	0	0	196	0	1746	1	0	3	0	0	0	0	0	0	0	0	0	0
0	9	0	14	0	0	0	0	0	0	0	0	31	31	0	0	0	0	197	0	1837	3	0	3	0	0	0	0	0	0	0	0	0	0
