firstname	commonname	surname	skintypecode	haircolorcode	facialhairtypecode	managerid	hairtypecode	headtypecode	height	seasonaloutfitid	weight	hashighqualityhead	gender	headassetid	ethnicity	faceposerpreset	teamid	eyebrowcode	eyecolorcode	personalityid	headclasscode	nationality	sideburnscode	headvariation	skintonecode	outfitid	hairstylecode	bodytypecode	facialhaircolorcode
Stefano		Pioli	51	9	8	250527	0	1519	183	5500	75	1	0	13128	2	2	47	6	9	0	0	27	0	1	2	5523	0	83	0
			0	1	0	249931	16	1	180	5529	75	0	0	26544	2	0	48	0	9	1	0	27	0	0	3	5517	0	83	0
Enzo		Maresca	2	1	8	263428	0	2004	180	5551	75	0	0	263428	2	0	50	0	9	0	0	27	0	0	2	5551	0	83	2
Ivan		Jurić	2	1	6	155191	59	1518	174	5551	67	0	0	155191	2	0	54	0	5	1	0	10	0	0	2	5566	0	88	0
Luca		Gotti	51	9	4	254661	77	1526	188	5535	75	0	0	254661	3	0	55	0	6	0	0	27	0	0	3	5502	0	86	0
			0	1	0	249654	16	1	187	5505	75	0	0	26537	2	0	57	0	1	0	0	18	0	0	1	5505	0	86	0
			0	1	0	250055	16	1	181	5506	75	0	0	26544	2	0	58	0	9	0	0	18	0	0	3	5522	0	83	0
			0	1	0	241152	16	1	190	5536	90	0	0	26537	2	0	59	0	1	0	0	8	0	0	1	5575	0	86	0
			0	1	0	262532	16	1	183	5510	75	0	0	26539	2	0	62	0	1	0	0	18	0	0	2	5506	0	83	0
			0	1	0	116880	16	1	179	5500	76	0	0	26543	2	0	64	0	7	0	0	18	0	0	2	5500	0	83	0
			0	1	0	30193	16	1	183	5557	77	0	0	26543	2	0	65	0	7	0	0	18	0	0	2	5508	0	83	0
			0	1	0	250295	16	1	175	5527	75	0	0	26544	2	0	66	0	9	0	0	34	0	0	3	5566	0	83	0
			51	1	0	249434	0	1500	183	5509	75	0	0	26538	2	0	68	0	2	1	0	18	0	0	1	5523	0	83	0
			0	1	6	3800	16	16	176	5528	72	0	0	26541	2	3	69	0	6	0	0	10	0	0	1	5567	0	82	2
			0	1	0	250197	16	1	177	5507	75	0	0	26540	2	3	70	0	1	0	0	18	0	0	2	5567	0	83	0
			0	1	0	249003	16	1	185	5500	75	0	0	26545	2	2	71	0	9	1	0	18	0	0	8	5500	0	86	0
			0	1	0	249131	16	1	176	5509	75	0	0	26543	2	0	72	0	7	1	0	18	0	0	2	5534	0	83	0
			51	3	6	8885	174	1521	182	5530	81	0	0	26543	2	0	73	0	7	0	0	52	0	0	2	5501	0	83	0
			0	1	0	249073	16	1	172	5511	75	0	0	26539	2	0	74	0	1	0	0	18	0	0	2	5520	0	89	0
			0	1	0	249814	16	1	183	5520	75	0	0	26541	2	3	76	0	6	0	0	18	0	0	1	5520	0	83	0
Stephen		Glass	2	1	6	257545	189	2029	175	5545	75	0	0	257545	2	0	77	0	5	0	0	42	0	0	2	5575	0	83	0
Ange		Postecoglou	51	9	4	220812	182	2007	184	5511	75	0	0	220812	3	0	78	0	4	0	0	195	0	0	3	5510	0	83	0
			0	1	0	257988	16	1	178	5515	75	0	0	26543	2	0	80	0	7	0	0	161	0	0	2	5566	0	83	0
Jack		Ross	2	1	6	51383	189	1508	185	5529	72	0	0	51383	2	0	81	0	1	0	0	42	0	0	2	5504	0	85	0
Graham		Alexander	2	3	4	101999	118	2029	178	5529	76	0	0	101999	2	0	83	2	6	0	0	42	0	0	2	5504	0	82	0
Steven		Gerrard	2	5	6	262054	118	1505	183	5538	75	1	0	13743	2	2	86	0	6	0	0	14	0	2	2	5517	0	83	2
			2	5	0	2062	37	2012	175	5544	69	0	0	26540	2	3	88	2	1	0	0	14	0	0	2	5504	0	82	3
			0	1	0	250173	16	1	185	5546	75	0	0	26537	2	0	89	0	1	0	0	14	0	0	1	5504	0	86	0
			0	1	0	260112	16	1	176	5511	75	0	0	26539	2	0	91	0	1	0	0	14	0	0	2	5510	0	83	0
			0	1	0	250255	16	1	180	5506	75	0	0	26544	2	0	94	0	9	1	0	14	0	0	3	5522	0	83	0
Brendan		Rodgers	2	5	0	249063	150	2012	170	5539	75	1	0	249063	2	3	95	0	7	0	0	35	0	0	3	5579	0	89	1
			0	1	0	51337	16	1	183	5511	81	0	0	26541	2	3	97	0	6	0	0	14	0	0	1	5510	0	83	0
			0	3	6	11785	16	2004	168	5544	66	0	0	26543	2	0	106	0	7	0	0	14	0	0	2	5575	0	88	2
			2	3	7	45367	21	3004	191	5557	83	0	0	26547	4	0	109	0	3	1	0	18	0	0	8	5508	0	85	2
Bruno Miguel	Bruno Lage	Silva do Nascimento	2	1	6	249078	165	2516	190	5509	75	1	0	249078	3	0	112990	1	4	0	0	38	0	0	4	5506	0	86	0
			0	1	0	63014	16	1	180	5500	75	0	0	26537	2	0	111	0	1	1	0	14	0	0	1	5500	0	86	0
			0	1	0	63015	16	1	180	5500	75	0	0	26537	2	0	112	0	1	1	0	14	0	0	1	5500	0	86	0
			2	5	6	100707	16	3502	191	5509	82	0	0	26541	2	3	121	0	6	0	0	205	0	0	1	5504	0	85	2
			0	1	0	250540	16	1	185	5511	75	0	0	26543	2	0	127	0	7	1	0	14	0	0	2	5578	0	86	0
			2	6	6	119834	65	2016	175	5511	72	0	0	26539	2	0	142	0	1	0	0	14	0	0	2	5504	0	83	2
			0	5	6	188200	31	2012	180	5511	70	0	0	26543	2	0	143	2	7	0	0	14	0	0	2	5533	0	82	2
			0	1	0	178609	16	1	180	5530	75	0	0	26543	2	0	144	0	7	0	0	38	0	0	2	5506	0	83	0
			2	6	6	250077	117	1517	175	5511	75	0	0	26539	2	0	149	0	1	0	0	14	0	0	2	5510	0	83	3
			0	1	0	249421	16	1	182	5527	75	0	0	26540	2	3	159	0	1	0	0	21	0	0	2	5510	0	83	0
			0	1	0	253183	16	1	183	5527	75	0	0	26543	2	0	160	0	7	0	0	21	0	0	2	5522	0	83	0
			2	3	6	102133	16	2	178	5511	72	0	0	26540	2	3	165	0	1	0	0	21	0	0	2	5569	0	82	2
			0	3	0	3492	16	3505	179	5557	83	0	0	26541	2	3	166	0	6	0	0	23	0	0	1	5551	0	82	2
			0	1	0	260230	16	1	190	5509	75	0	0	26540	2	3	169	0	1	0	0	13	0	0	2	5566	0	86	0
			0	1	0	257577	16	1	183	5509	75	0	0	26543	2	0	171	0	7	0	0	21	0	0	2	5553	0	83	0
			2	1	6	19765	22	16	187	5560	86	0	0	26543	2	0	175	2	7	0	0	34	0	0	2	5504	0	85	0
			0	1	0	250695	16	1	182	5506	75	0	0	26546	2	0	180	0	9	0	0	155	0	0	3	5506	0	83	0
Thomas		Courts	2	1	14	262594	188	4001	183	5511	75	0	0	262594	2	0	181	0	1	1	0	42	0	0	2	5510	0	83	0
Siniša		Mihajlović	2	9	4	250510	26	4006	185	5509	75	0	0	250510	2	0	189	6	3	0	0	51	0	0	2	5517	0	86	0
Matthias		Jaissle	2	6	4	263026	176	4001	186	5511	75	0	0	263026	2	0	191	6	3	1	0	21	0	0	2	5520	0	86	3
Paolo		Zanetti	2	5	8	251109	77	17	184	5539	75	0	0	251109	1	0	205	0	3	0	0	27	0	0	1	5522	0	83	2
Eusebio		Di Francesco	2	6	8	1212	141	2000	178	5529	71	0	0	1212	2	0	206	0	3	1	0	27	0	0	2	5514	0	83	3
Christian		Ilzer	51	1	8	249125	0	7	183	5557	75	0	0	249125	3	0	209	0	6	1	0	4	0	0	3	5508	0	83	0
			0	1	0	250533	16	1	170	5557	75	0	0	26540	2	3	210	0	1	0	0	18	0	0	2	5523	0	89	0
Damir		Krznar	51	1	6	261458	26	3507	177	5552	75	0	0	261458	2	0	211	0	3	0	0	10	0	0	2	5522	0	83	0
			0	1	0	249132	16	1	176	5509	75	0	0	26540	2	3	217	0	1	0	0	18	0	0	2	5523	0	83	0
			0	1	0	249722	16	1	165	5510	75	0	0	26538	2	0	219	0	2	1	0	52	0	0	1	5567	0	89	0
			0	1	0	250245	16	1	174	5511	75	0	0	26538	2	0	224	0	2	0	0	18	0	0	1	5510	0	89	0
			2	1	0	8753	1	4502	177	5557	71	0	0	26545	9	2	226	0	9	0	0	136	0	0	8	5565	0	82	0
			2	1	11	139730	0	1007	190	5558	75	1	0	26545	6	0	229	1	3	0	0	7	0	0	6	5534	0	5	0
Brian		Priske	2	9	4	252928	65	2024	188	5529	75	0	0	252928	2	0	230	0	3	1	0	13	0	0	2	5514	0	86	1
Philippe		Clement	51	2	8	8834	26	1517	191	5509	87	0	0	8834	2	0	231	0	1	0	0	7	0	0	2	5508	0	85	1
Mbaye		Leye	2	1	1	260170	194	1005	182	5511	75	0	0	260170	9	0	232	6	9	0	0	136	0	0	9	5522	0	83	0
			51	9	0	249755	9	36	175	5511	75	0	0	26540	2	2	234	6	3	1	0	38	0	1	3	5507	0	83	0
Sérgio Paulo	Sérgio Conceição	Conceição	2	1	8	7854	115	2505	176	5555	75	1	0	7854	4	3	236	0	3	1	0	38	0	0	4	5504	0	83	0
Rúben Filipe	Rúben Amorim	Marques Amorim	2	1	8	254801	220	1533	180	5509	75	0	0	254801	4	0	237	1	3	0	0	38	0	0	4	5506	0	83	0
Diego		Simeone	51	3	4	5571	446	1526	177	5509	77	1	0	5571	3	0	240	0	6	1	0	52	0	0	4	5500	0	81	0
Xavier Hernández 	Xavier Hernández 	Creus	51	2	0	10535	641	2007	181	5558	78	1	0	10535	1	0	241	0	2	0	0	34	0	0	1	5534	0	83	1
Carlo		Ancelotti	51	9	0	237388	177	2502	179	5529	75	1	0	237388	3	0	243	0	8	0	0	27	0	0	3	5502	0	82	0
Juan Ignacio	Martínez	Martínez Jiménez	51	9	6	249801	182	2008	176	5558	75	0	0	249801	3	0	244	0	3	0	0	45	0	0	3	5505	0	83	0
Alfred	Alfred Schreuder	Schreuder	0	1	0	249329	16	1	182	5541	75	0	0	26538	2	0	245	0	2	0	0	34	0	0	1	5524	0	83	0
			0	1	0	250808	16	1	184	5547	75	0	0	26538	2	0	246	0	2	0	0	34	0	0	1	5534	0	83	0
			0	1	0	250418	16	1	188	5555	75	0	0	26540	2	3	247	0	1	1	0	21	0	0	2	5553	0	86	0
Dominik		Thalhammer	51	9	0	257251	92	3508	185	5529	75	0	0	257251	2	0	252	1	2	0	0	4	0	0	2	5525	0	86	3
Dietmar		Kühbauer	51	9	0	50182	17	5	173	5527	73	0	0	50182	2	0	254	6	3	1	0	4	0	0	2	5522	0	88	1
Manfred		Schmid	51	9	6	262712	636	25	175	5551	75	0	0	262712	1	0	256	6	6	0	0	4	0	0	1	5524	0	83	0
Luis Miguel	Ramis	Ramis Monfort	51	3	6	249953	632	2507	190	5527	75	0	0	249953	2	0	260	0	3	1	0	45	0	0	2	5506	0	86	0
Jens		Gustafsson	51	3	6	249657	189	4005	182	5548	75	0	0	249657	2	0	263	1	6	0	0	46	0	0	2	5501	0	83	2
Jindřich		Trpišovský	51	1	4	249675	290	12	180	5520	75	0	0	249675	2	0	266	1	1	0	0	12	0	0	2	5520	0	83	0
Pavel		Vrba	51	6	4	250271	150	2016	176	5535	75	0	0	250271	3	0	267	1	3	0	0	12	0	0	3	5534	0	83	3
Niels		Frederiksen	51	9	6	250172	290	2000	188	5511	75	0	0	250172	1	0	269	0	2	0	0	13	0	0	1	5504	0	86	1
Kent		Nielsen	51	9	0	249849	154	4008	192	5511	75	0	0	249849	1	0	270	1	1	0	0	13	0	0	1	5567	0	86	1
David		Nielsen	2	1	18	101981	25	1024	183	5511	75	0	0	101981	6	0	271	0	9	1	0	13	0	0	6	5551	0	82	0
Andreas		Alm	2	1	8	41487	297	3	180	5529	80	0	0	41487	1	0	272	0	3	0	0	46	0	0	1	5512	0	83	0
Vladan		Milojević	2	1	0	256165	63	2024	182	5527	75	0	0	256165	4	0	278	2	6	0	0	51	0	0	4	5569	0	83	0
Pedro Rui	Pedro Martins	Vieira Martins	51	2	4	250282	111	18	178	5527	75	0	0	250282	3	0	280	0	3	1	0	38	0	0	3	5551	0	83	0
			0	1	0	251099	16	1	174	5509	75	0	0	26538	2	0	294	0	2	0	0	18	0	0	1	5526	0	89	0
Åge		Hareide	51	9	0	248910	93	2008	180	5544	75	0	0	248910	2	0	298	6	3	0	0	36	0	0	2	5551	0	83	1
			0	9	0	270136	95	1	177	5527	75	0	0	20633	2	0	299	1	3	1	0	54	0	0	2	5585	0	83	0
			0	9	0	270135	95	3501	177	5527	75	0	0	26543	2	0	300	1	3	1	0	54	0	0	2	5585	0	83	0
			0	9	0	270126	95	1	177	5527	75	0	0	26542	2	0	305	1	3	1	0	54	0	0	2	5585	0	83	0
			0	9	0	270127	95	1	177	5527	75	0	0	26544	2	0	306	1	3	1	0	54	0	0	2	5585	0	83	0
Laurențiu		Reghecampf	51	9	8	249891	183	30	174	5551	75	0	0	249891	2	0	308	1	3	1	0	39	0	0	2	5566	0	89	1
			0	1	0	249679	16	1	179	5509	75	0	0	26546	2	0	310	0	9	0	0	155	0	0	3	5569	0	83	0
Alexey		Berezutskiy	2	5	6	263717	114	9	190	5511	75	0	0	263717	2	0	315	1	1	1	0	40	0	0	2	5566	0	86	3
Mikael		Stahre	51	5	6	250109	167	5	176	5510	75	0	0	250109	1	0	319	0	2	0	0	46	0	0	1	5507	0	83	0
Jon Dahl		Tomasson	2	5	0	254883	155	3	182	5511	75	0	0	254883	2	0	320	0	1	0	0	13	0	0	2	5520	0	83	1
Magnus		Haglund	51	0	8	249962	290	30	185	5548	75	0	0	249962	1	0	321	0	2	0	0	46	0	0	1	5507	0	86	1
Giorgio		Contini	51	1	8	144096	0	2510	175	5527	70	0	0	144096	5	0	322	1	4	0	0	47	0	0	5	5523	0	83	2
Alain		Geiger	51	6	6	252441	59	2502	180	5557	75	0	0	252441	2	0	324	1	3	0	0	47	0	0	2	5523	0	83	1
Fatih		Terim	51	9	0	183635	26	2515	172	5532	75	0	0	183635	4	0	325	0	3	1	0	48	0	0	4	5507	0	87	0
Jorge Fernando	Jorge Jesus	Pinheiro de Jesus	51	9	0	249725	9	36	175	5511	75	1	0	250	2	2	113307	6	3	1	0	38	0	1	3	5507	0	83	0
Sergen		Yalçın	51	6	10	250477	150	2512	176	5527	75	0	0	250477	3	0	327	0	1	1	0	48	0	0	3	5568	0	83	0
Marco		Baroni	51	9	12	249993	116	1	185	5532	75	0	0	249993	1	0	347	1	9	0	0	27	0	0	1	5567	0	86	0
			0	1	0	250536	16	1	173	5560	75	0	0	26543	2	0	357	0	7	0	0	35	0	0	2	5504	0	89	0
			0	1	0	255945	16	1	191	5511	75	0	0	26540	2	3	361	0	1	0	0	14	0	0	2	5510	0	86	0
			0	1	0	250092	16	1	180	5511	75	0	0	26538	2	0	378	0	2	1	0	3	0	0	1	5525	0	83	0
			0	1	0	250213	16	1	184	5558	75	0	0	26540	2	3	379	0	1	0	0	45	0	0	2	5578	0	83	0
			0	1	0	250016	16	1	173	5511	75	0	0	26541	2	3	381	0	6	0	0	14	0	0	1	5566	0	89	0
Abel	Abel Ferreira	Ferreira	0	1	0	17880	16	1	180	5563	75	1	0	7826	2	2	383	0	1	1	0	38	0	1	3	900002	0	86	0
Răzvan		Lucescu	51	9	16	250354	141	2	179	5529	75	0	0	250354	3	0	393	0	6	1	0	39	0	0	3	5578	0	83	0
Erling		Moe	51	3	0	249331	234	3516	180	5511	75	0	0	249331	2	0	417	6	1	0	0	36	0	0	2	5506	0	83	0
			0	9	0	270137	95	1	177	5527	75	0	0	26540	2	0	418	1	3	1	0	54	0	0	2	5585	0	83	0
Jan		Urban	51	6	0	249636	122	11	179	5513	75	0	0	249636	2	0	420	1	9	0	0	37	0	0	2	5513	0	83	0
			0	9	0	270128	95	1533	177	5527	75	0	0	26538	2	0	423	1	3	1	0	54	0	0	2	5585	0	83	0
Bartosz		Grzelak	2	6	4	257632	191	2016	173	5509	75	0	0	257632	1	0	433	0	1	0	0	46	0	0	1	5569	0	89	3
Abdullah		Avcı	51	9	6	248886	72	1526	178	5562	75	0	0	248886	3	0	436	1	3	0	0	48	0	0	3	5505	0	83	0
			0	9	0	270129	95	1518	177	5527	75	0	0	26537	2	0	445	1	3	1	0	54	0	0	2	5585	0	83	0
Marcelino	Marcelino	García Toral	51	3	6	241611	78	1526	170	5560	73	1	0	241611	2	0	448	0	4	1	0	45	0	0	2	5514	0	89	0
Manuel		Pellegrini	51	9	6	168384	162	1509	184	5545	80	0	0	168384	4	0	449	0	2	0	0	55	0	0	4	5516	0	83	0
			2	1	4	4	179	1506	178	5558	73	0	0	138814	4	0	450	0	3	1	1	52	0	0	4	5508	0	82	0
Vicente	Vicente Moreno	Moreno Peris	2	1	8	113071	114	2512	188	5514	81	0	0	113071	3	0	452	0	3	0	0	45	0	0	3	5514	0	85	0
Luis	Luis García	García Plaza	51	1	6	249939	636	22	180	5579	75	0	0	249939	3	0	453	0	3	1	0	45	0	0	3	5515	0	83	0
Imanol	Imanol Alguacil	Alguacil	51	9	6	249601	138	39	187	5513	75	0	0	249601	4	0	457	0	9	0	0	45	0	0	4	5523	0	86	0
David	David Gallego	Gallego Rodríguez	2	1	8	113162	77	2	165	5535	64	0	0	113162	2	0	459	0	4	0	0	45	0	0	2	5504	0	89	0
Genaro	Gattuso	Gattuso	2	1	20	249735	635	34	180	5500	75	0	0	249735	3	0	461	0	9	0	0	45	0	0	3	5508	0	83	0
Juan José	Pacheta	Rojo Martín	2	9	6	249805	291	2507	184	5558	75	0	0	249805	4	0	462	0	3	1	0	45	0	0	4	5520	0	83	0
Javier	Javier Calleja	Calleja Revilla	51	1	6	45490	174	1519	171	5513	76	1	0	45490	2	3	463	0	4	0	0	45	0	0	2	5534	0	88	0
Gaizka	Gaizka Garitano	Garitano Aguirre	2	9	6	113348	150	1519	184	5511	76	0	0	113348	2	0	467	1	3	0	0	45	0	0	2	5552	0	82	0
Francisco	Fran Escribá	Escribá Segura	51	9	0	249399	188	4003	170	5501	75	0	0	249399	4	0	468	0	3	0	0	45	0	0	4	5534	0	89	0
José	Pepe Mel	Mel Pérez	51	9	0	249739	26	2029	179	5518	75	0	0	249739	3	0	472	0	3	1	0	45	0	0	3	5518	0	83	3
Jagoba	Jagoba Arrasate	Arrasate Elustondo	2	5	6	172720	150	33	169	5558	72	0	0	172720	2	0	479	1	4	0	0	45	0	0	2	5534	0	89	2
Andoni	Iraola	Iraola Sagarna	0	1	6	251637	160	3	182	5505	75	0	0	251637	2	0	480	0	9	0	0	45	0	0	2	5523	0	83	0
Julen	Julen Lopetegui	Lopetegui Argote	2	6	6	243874	292	49	187	5511	77	1	0	243874	2	4	481	0	5	0	0	45	0	0	3	5510	0	86	0
Unai	Unai Emery	Emery Etxegoien	2	1	0	237389	182	3513	181	5541	75	1	0	237389	4	0	483	0	4	1	0	45	0	0	4	5512	0	81	0
			0	1	0	263800	16	1	180	5506	75	0	0	26541	2	3	485	0	6	0	0	21	0	0	1	5569	0	83	0
Daniel		Scherning	51	9	6	262810	0	2508	189	5527	75	0	0	262810	2	0	487	0	1	0	0	21	0	0	2	5521	0	86	0
Rüdiger		Rehm	2	3	6	109317	35	2017	184	5527	74	0	0	109317	2	0	492	2	3	1	0	21	0	0	2	5552	0	82	2
			51	9	6	252766	0	6	187	5511	75	0	0	26538	2	0	503	2	2	0	0	21	0	0	1	5566	0	86	1
			0	1	0	270146	16	1	187	5511	75	0	0	26541	2	3	506	0	6	1	0	6	0	0	1	5506	0	86	0
Uwe		Koschinat	51	3	0	250627	167	2007	178	5527	75	0	0	250627	2	0	523	6	1	1	0	21	0	0	2	5566	0	83	1
			0	1	0	251583	16	1	180	5532	75	0	0	26543	2	0	543	0	7	0	0	8	0	0	2	5567	0	83	0
			2	6	6	102001	16	7	185	5509	74	0	0	26541	2	3	561	0	6	0	0	50	0	0	1	5510	0	84	3
Liam		Buckley	51	5	0	249915	122	3500	173	5511	75	0	0	249915	2	0	563	0	1	0	0	25	0	0	2	5510	0	89	1
Fernando	Fernando Diniz	Diniz	0	1	0	248891	16	1	180	5551	75	1	0	7289	2	2	567	0	1	1	0	54	0	2	3	900006	0	86	0
José Alberto	José Alberto	López Menéndez	2	9	4	249745	0	1521	175	5558	75	0	0	249745	3	0	573	6	3	0	0	45	0	0	3	5504	0	83	0
			0	1	0	253394	16	1	181	5552	75	0	0	26543	2	0	576	0	7	0	0	21	0	0	2	5552	0	83	0
Rogerio	Rogerio ceni	Ceni	0	1	0	270015	16	1	180	5563	75	1	0	27000	2	2	598	0	1	1	0	54	0	0	3	900001	0	86	0
Paulo		Pezzolano	2	1	8	253719	186	525	185	5550	75	1	0	190049	4	2	605	0	5	0	0	60	0	1	4	5550	0	86	0
Claudinei		Oliveira	51	1	3	270155	167	5	186	5563	75	1	0	26541	5	2	607	0	3	0	1	54	0	0	5	5568	0	86	0
			0	1	0	250201	16	1	182	5554	75	0	0	26538	2	0	614	0	2	1	0	18	0	0	1	5554	0	83	0
			0	9	0	270125	95	1	177	5527	75	0	0	26537	2	0	621	1	3	1	0	54	0	0	2	5585	0	83	0
Malky		Mackay	51	3	0	101883	72	2503	188	5555	90	0	0	101883	2	0	631	0	5	1	0	42	0	0	2	5501	0	85	2
			0	1	0	251097	16	1	180	5509	75	0	0	26541	2	3	634	0	6	0	0	34	0	0	1	5520	0	83	0
			0	1	0	249553	16	1	175	5511	75	0	0	26542	2	0	647	0	3	0	0	34	0	0	2	5504	0	83	0
Edward		Still	1	12	8	262232	77	2000	185	5510	75	0	0	262232	2	0	670	2	1	0	0	7	0	0	2	5569	0	86	4
John		van den Brom	2	4	0	249703	114	1504	191	5555	75	0	0	249703	2	0	673	6	2	0	0	34	0	0	2	5505	0	86	1
Hein		Vanhaezebrouck	51	0	0	249547	121	4007	189	5557	75	0	0	249547	2	0	674	6	1	1	0	7	0	0	2	5507	0	86	1
			0	9	0	270169	95	1	177	5527	75	0	0	26537	2	0	675	1	3	1	0	54	0	0	2	5585	0	83	0
Bernd		Hollerbach	2	0	4	699	167	2003	177	5555	82	0	0	699	2	0	680	0	3	0	0	21	0	0	2	5533	0	83	2
Alexander		Blessin	2	6	0	256828	167	2508	191	5506	75	0	0	256828	3	0	682	0	1	0	0	21	0	0	3	5522	0	86	2
			0	1	0	249083	16	1	175	5530	75	0	0	26541	2	3	687	0	6	0	0	95	0	0	1	5517	0	83	0
			0	1	0	256480	16	1	172	5511	75	0	0	26543	2	0	688	0	7	1	0	52	0	0	2	5506	0	89	0
			0	1	0	251656	16	1	172	5533	75	0	0	26538	2	0	689	0	2	0	0	4	0	0	1	5520	0	89	0
			0	1	0	249071	16	1	183	5502	75	0	0	26544	2	0	691	0	9	0	0	95	0	0	3	5503	0	83	0
			0	1	6	6789	75	1	182	5530	75	0	0	26543	2	0	693	0	7	0	0	47	0	0	2	5515	0	82	0
			0	1	0	253731	16	1	185	5558	75	0	0	26545	2	2	694	0	9	0	0	95	0	0	8	5526	0	86	0
			0	1	0	167341	16	1	173	5552	72	0	0	26543	2	0	695	0	7	0	0	95	0	0	2	5504	0	89	0
			0	1	0	250306	16	1	185	5531	75	0	0	26538	2	0	696	0	2	1	0	95	0	0	1	5502	0	86	0
			1	3	0	17744	25	2001	180	5531	78	0	0	26541	2	3	697	0	6	0	0	95	0	0	1	5523	0	82	2
			0	1	0	257064	16	1	170	5511	75	0	0	26540	2	3	698	0	1	1	0	60	0	0	2	5506	0	89	0
