homega	previousyeartableposition	homegf	currenttableposition	awaygf	awayga	teamshortform	hasachievedobjective	yettowin	unbeatenallcomps	unbeatenleague	champion	leagueid	prevleagueid	highestpossible	teamform	highestprobable	homewins	artificialkey	nummatchesplayed	teamid	grouping	awaywins	objective	points	actualvsexpectations	homelosses	unbeatenhome	lastgameresult	unbeatenaway	awaylosses	awaydraws	homedraws	teamlongform
7	6	9	17	6	11	80	0	0	0	0	0	7	7	0	22022	3	3	36	19	1629	5	3	9	22	4	3	0	0	0	6	0	4	63
13	19	10	16	8	12	20	0	0	0	0	0	7	7	0	11100	5	4	37	21	111041	5	1	5	23	1	4	0	2	0	4	5	3	33
7	16	17	4	12	16	13	0	0	0	0	0	7	7	0	11000	8	6	38	21	111052	9	3	3	33	0	1	0	2	0	5	3	3	40
8	11	14	13	5	13	13	0	0	0	0	0	7	7	0	1001	3	5	39	20	111059	3	0	8	25	2	1	0	1	0	4	6	4	36
8	13	7	11	10	12	40	0	0	0	0	0	7	7	0	21110	3	2	40	20	112119	3	4	3	26	1	2	0	2	0	4	2	6	36
17	17	5	20	12	17	33	0	0	0	0	0	7	7	0	11020	5	0	41	21	112476	5	1	5	10	2	8	0	2	0	5	5	2	20
15	20	13	9	10	7	73	0	0	0	0	0	7	7	0	21221	3	3	42	21	115530	3	3	5	28	0	4	0	1	0	1	6	4	63
13	4	19	3	17	21	73	0	0	0	0	0	7	83	0	12221	9	7	43	31	2056	9	6	3	48	0	2	0	1	0	7	3	6	46
14	5	15	11	13	22	46	0	0	0	0	0	7	83	9	22100	5	5	44	29	112258	5	3	5	29	2	6	0	2	0	10	2	3	46
0	2	0	2	0	0	0	0	0	0	0	0	7	1003	0	0	0	0	45	0	383	0	0	0	0	0	0	0	0	0	0	0	0	0
0	2	0	2	0	0	0	0	0	0	0	0	7	1003	0	0	0	0	46	0	598	0	0	0	0	0	0	0	0	0	0	0	0	0
0	2	0	2	0	0	0	0	0	0	0	1	7	1003	0	0	0	0	47	0	1043	0	0	0	0	0	0	0	0	0	0	0	0	0
0	2	0	2	0	0	0	0	0	0	0	0	7	1014	0	0	0	0	48	0	1041	0	0	0	0	0	0	0	0	0	0	0	0	0
0	2	0	2	0	0	0	0	0	0	0	0	7	1014	0	0	0	0	49	0	112472	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1	22	1	8	1	100	0	0	0	1	1	10	10	0	22222	0	4	50	7	245	0	2	0	19	1	0	1	0	1	0	1	0	90
4	3	10	3	9	3	80	0	0	0	0	0	10	10	0	20222	10	3	51	6	246	10	2	0	15	2	0	1	0	0	1	0	0	83
7	2	9	4	8	3	60	0	0	0	0	0	10	10	0	22020	10	2	52	7	247	10	3	0	15	2	1	0	2	0	1	0	0	71
8	15	4	16	2	5	13	0	0	0	0	0	10	10	0	10001	3	1	53	6	634	5	0	3	5	2	1	0	1	0	2	1	1	27
5	9	10	7	5	13	80	0	0	0	0	0	10	10	0	22022	8	3	54	7	647	8	1	5	12	0	1	0	0	0	2	0	0	57
4	7	14	5	3	1	66	0	0	0	0	0	10	10	0	20122	8	3	55	7	1903	8	1	10	14	2	0	1	0	0	1	1	1	66
4	10	3	15	6	8	13	0	0	0	0	0	10	10	0	10100	5	1	56	7	1905	3	0	5	5	0	2	0	2	0	2	2	0	23
3	5	5	12	6	8	40	0	0	0	0	0	10	10	0	20002	3	1	57	6	1906	3	1	10	6	3	1	0	0	0	3	0	0	33
6	17	5	2	5	1	86	0	0	0	0	0	10	10	0	21222	10	3	58	7	1907	10	2	3	16	0	1	0	0	1	0	1	0	76
2	4	5	6	8	7	80	0	0	0	0	0	10	10	0	2222	8	2	59	7	1908	8	2	3	13	0	0	1	0	0	2	0	1	61
8	6	2	9	4	6	46	0	0	0	0	0	10	10	0	2021	3	0	60	7	1909	3	3	8	10	2	2	0	1	0	1	0	1	47
3	11	2	10	5	11	33	0	0	0	0	0	10	10	0	21100	3	1	61	7	1910	3	1	5	8	0	1	0	2	0	2	1	1	38
8	8	7	8	3	4	26	0	0	0	0	0	10	10	0	1200	8	2	62	7	1913	8	1	8	10	1	2	0	2	0	1	1	0	47
4	18	1	18	1	9	6	0	1	0	0	0	10	10	0	10	4	0	63	7	1914	4	0	3	1	3	2	0	2	0	4	0	1	4
2	12	1	17	5	11	6	0	0	0	0	0	10	10	0	1000	4	0	64	7	1915	4	1	8	5	4	1	0	2	0	3	0	2	23
3	13	4	14	2	12	40	0	0	0	0	0	10	10	0	20200	3	2	65	7	100632	3	0	5	6	0	2	0	2	0	3	0	0	28
5	16	4	11	2	3	46	0	0	0	0	0	10	10	0	10202	3	2	66	6	100634	3	0	3	7	1	2	0	0	0	1	1	0	38
7	14	5	13	1	7	33	0	0	0	0	0	10	10	0	2110	3	1	67	7	100646	3	0	3	6	1	1	0	2	0	2	1	2	28
3	5	4	10	1	7	60	0	0	0	0	0	13	13	0	222	3	2	68	6	1	3	1	1	9	3	1	0	0	0	2	0	0	50
1	14	6	8	3	6	66	0	0	0	0	0	13	13	0	21022	3	2	69	6	2	3	1	2	10	2	0	1	0	0	2	0	1	55
1	3	6	3	6	1	66	0	0	0	0	0	13	13	0	21220	1	2	70	6	5	1	2	1	13	1	1	0	2	1	0	1	0	72
2	16	8	5	4	5	66	0	0	0	0	0	13	13	0	12202	3	3	71	6	7	2	1	2	13	1	0	1	0	0	1	1	0	72
7	17	3	18	3	7	20	0	1	0	0	0	14	14	0	11010	4	0	72	6	8	4	0	3	3	3	2	0	2	0	1	2	1	16
1	2	6	1	9	3	73	0	0	1	1	0	13	13	0	21221	1	2	73	6	9	0	2	0	14	1	0	1	1	1	0	1	1	77
0	1	10	2	2	1	86	0	0	0	0	1	13	13	0	22212	1	2	74	6	10	1	2	0	13	2	0	1	0	0	1	0	1	72
3	6	9	4	4	2	66	0	0	0	0	0	13	13	0	12220	2	2	75	6	11	1	2	0	13	2	1	0	2	1	0	1	0	72
7	11	5	17	2	7	20	0	1	0	0	0	13	13	0	1011	5	0	76	6	13	5	0	3	3	2	1	0	1	0	2	1	2	16
2	15	1	16	3	5	26	0	1	0	0	0	13	14	0	11110	5	0	77	6	17	5	0	3	4	2	1	0	2	0	1	2	2	22
3	4	2	11	2	6	40	0	0	0	0	0	13	13	0	22000	3	2	78	6	18	3	1	1	9	3	1	0	2	0	2	0	0	50
5	7	7	7	6	3	53	0	0	0	0	0	13	13	0	21102	3	1	79	6	19	3	2	2	11	2	1	0	0	1	0	1	1	61
3	8	3	13	4	7	26	0	0	0	0	0	13	14	0	2001	3	1	80	6	95	3	1	1	7	3	1	0	1	0	2	0	1	38
4	10	0	14	3	1	40	0	0	0	0	0	13	13	0	202	3	0	81	6	110	3	2	3	6	1	3	0	0	0	1	0	0	33
0	12	3	15	2	8	33	0	0	0	0	0	13	13	0	1120	5	1	82	5	1799	5	0	4	5	1	0	1	2	0	2	1	1	33
3	9	4	6	3	1	80	0	0	0	0	0	13	13	0	22022	0	2	83	5	1808	3	2	3	12	1	1	0	0	1	0	0	0	80
4	13	5	9	3	1	40	0	0	0	0	0	13	13	0	11021	3	1	84	6	1925	3	1	4	9	0	1	0	1	1	0	2	1	50
9	17	4	22	4	4	33	0	0	0	0	0	13	14	6	10021	4	0	85	9	14	4	1	7	5	4	4	0	1	0	2	1	1	18
3	18	7	4	12	5	46	0	0	0	0	0	13	13	6	20201	7	2	86	9	144	7	3	6	17	2	1	0	1	0	1	1	1	62
6	6	11	1	5	1	86	0	0	0	1	0	13	14	6	12222	6	3	87	9	1943	6	3	6	21	1	0	1	0	1	0	1	2	77
8	20	2	20	0	8	0	0	1	0	0	1	14	13	0	0	4	0	88	6	1792	4	0	4	0	2	3	0	2	0	3	0	0	0
5	19	4	12	3	4	26	0	0	0	0	0	14	13	0	21	3	1	89	6	1795	3	1	4	7	0	1	0	1	0	2	0	1	38
4	18	2	19	3	7	13	0	1	0	0	0	14	13	0	1001	4	0	90	6	1796	4	0	4	2	2	2	0	1	0	2	1	1	11
6	15	12	6	4	3	60	0	0	0	0	0	14	14	6	11212	7	3	91	9	3	7	1	3	16	0	1	0	0	1	0	3	1	59
7	10	6	18	3	4	26	0	0	0	0	0	14	14	6	10200	5	1	92	9	12	5	1	7	9	4	2	0	2	0	2	2	1	33
5	9	6	10	11	9	26	0	0	0	0	0	14	14	6	21000	3	1	93	9	15	3	2	8	12	1	1	0	2	0	2	1	2	44
6	18	3	12	7	4	33	0	0	0	0	0	60	14	6	12001	3	1	94	9	88	3	2	3	12	2	2	0	1	0	1	1	2	44
5	11	5	19	4	6	46	0	0	0	0	0	14	14	6	21111	5	1	95	9	97	5	0	8	9	2	1	0	1	0	1	4	2	33
4	19	10	2	6	4	60	0	0	0	1	0	14	13	6	21112	6	3	96	9	109	6	2	6	19	1	0	1	0	1	0	2	2	70
8	7	11	9	5	10	66	0	0	0	0	0	60	14	6	1222	3	3	97	9	1793	3	1	7	13	3	1	0	0	0	3	0	1	48
7	20	10	11	3	5	73	0	0	0	0	0	14	13	6	12122	3	2	98	9	1794	3	1	6	12	4	2	0	0	0	1	2	1	44
2	16	10	3	2	4	66	0	0	0	0	0	14	14	6	2212	7	5	99	9	1800	7	1	3	19	0	0	1	0	0	2	1	0	70
6	13	6	15	3	5	46	0	0	0	0	0	14	14	6	21111	3	2	100	9	1801	3	0	8	10	1	1	0	1	0	2	3	1	37
4	14	9	5	4	6	46	0	0	0	0	0	14	14	6	2102	7	4	101	9	1806	7	1	3	17	0	0	1	0	0	2	1	1	62
4	19	3	8	8	6	60	0	0	0	0	0	14	14	6	21121	8	0	102	9	1919	8	3	7	13	2	1	0	1	0	1	0	4	48
8	12	6	16	7	8	26	0	0	0	0	0	14	13	6	11110	3	1	103	9	1923	3	1	4	10	0	1	0	2	0	2	2	2	37
6	3	2	14	6	6	60	0	0	0	0	0	60	60	6	2022	3	2	104	9	1926	3	1	4	11	0	3	0	0	0	1	2	0	40
7	20	6	7	7	5	40	0	0	0	0	0	60	14	6	20200	8	2	105	9	1939	8	2	3	13	1	2	0	2	0	2	1	0	48
7	1	1	23	4	7	13	0	0	0	0	1	14	60	6	11000	4	0	106	9	1952	4	1	4	5	2	3	0	2	0	3	1	1	18
3	4	2	17	6	8	40	0	0	0	0	0	14	14	6	1112	5	1	107	9	1960	5	1	7	10	4	1	0	0	0	2	1	3	37
5	8	5	13	7	9	20	0	0	0	0	0	14	14	6	2000	3	1	108	9	1961	3	2	7	11	3	2	0	2	0	2	1	1	40
3	4	9	2	4	4	86	0	0	0	0	0	14	60	6	22212	6	5	109	8	106	6	1	7	19	0	0	1	0	0	1	1	0	79
7	23	7	5	4	2	53	0	0	0	0	0	14	14	6	20121	7	2	110	9	1797	7	2	7	14	1	2	0	1	0	1	1	1	51
2	20	7	1	7	3	100	0	0	0	0	0	60	60	6	22222	6	4	111	8	1917	6	2	3	19	0	0	1	0	0	1	0	1	79
5	7	5	2	9	5	66	0	0	0	0	0	16	16	0	12202	1	1	112	8	64	1	3	3	15	0	1	0	0	1	0	1	2	62
6	10	4	9	7	8	60	0	0	0	0	0	16	16	0	20022	3	2	113	8	65	3	1	1	11	3	1	0	0	0	2	2	0	45
7	8	11	7	2	5	66	0	0	0	0	0	16	16	0	22021	3	2	114	8	66	3	1	0	12	4	0	1	1	0	2	0	3	50
6	3	4	8	7	5	66	0	0	0	0	0	16	16	0	20122	3	1	115	8	69	3	2	0	11	4	2	0	0	0	1	1	1	45
7	13	10	14	5	8	33	0	0	0	0	0	16	16	0	2110	3	2	116	8	70	3	0	2	9	2	1	0	2	0	2	2	1	37
4	9	5	10	6	6	40	0	0	0	0	0	16	16	0	220	3	2	117	8	71	3	1	4	10	0	2	0	2	0	2	1	0	41
2	5	6	4	9	1	66	0	0	0	0	0	16	16	0	22102	2	1	118	7	72	2	3	2	13	1	0	1	0	0	1	0	2	66
3	1	12	1	10	4	100	0	0	1	1	1	16	16	0	22222	0	4	119	8	73	0	4	0	24	1	0	1	0	1	0	0	0	100
3	4	8	13	2	6	26	0	0	0	0	0	16	16	0	21	3	2	120	8	74	3	0	2	9	2	1	0	1	0	2	2	1	37
6	6	8	12	4	7	60	0	0	0	0	0	16	16	0	20220	3	2	121	8	76	3	1	3	10	1	2	0	2	0	2	0	1	41
1	16	4	6	5	7	60	0	0	0	0	0	17	16	0	12121	3	3	122	8	217	3	0	4	13	0	0	1	1	0	1	4	0	54
6	2	9	3	5	2	66	0	0	0	0	0	16	16	0	22210	1	2	123	7	219	1	2	1	14	1	1	0	2	1	0	1	1	66
6	15	4	17	4	6	33	0	0	0	0	1	17	17	0	2101	5	0	124	8	294	5	1	4	6	1	2	0	1	0	2	1	2	25
8	11	5	19	4	8	13	0	1	0	0	0	16	16	0	1100	4	0	125	8	378	4	0	4	4	2	2	0	2	0	2	2	2	16
6	12	6	11	4	3	46	0	0	0	0	0	16	16	0	2102	3	1	126	8	379	3	1	3	10	1	1	0	0	0	1	2	2	41
4	14	6	5	5	3	40	0	0	0	0	0	16	17	0	21011	2	2	127	8	1530	2	1	3	13	0	1	0	1	1	0	3	1	54
6	17	6	15	5	13	13	0	0	0	0	0	17	16	0	10100	5	1	128	8	1815	5	1	4	9	1	1	0	2	0	2	1	2	37
2	6	9	3	7	3	73	0	0	0	0	0	16	16	6	22121	7	3	129	10	57	7	2	7	19	1	1	0	1	1	0	3	1	63
1	13	7	4	5	5	66	0	0	0	0	0	16	16	6	22210	7	4	130	10	614	7	1	3	19	0	0	1	2	0	1	3	1	63
3	3	8	1	12	3	86	0	0	1	1	0	16	17	6	22122	6	3	131	9	1809	6	4	6	23	1	0	1	0	1	0	1	1	85
7	20	4	16	7	10	33	0	0	0	0	0	17	16	0	211	5	0	132	8	59	5	1	3	7	2	2	0	1	0	1	2	2	29
8	19	5	18	4	8	26	0	0	0	0	0	16	16	0	10002	5	0	133	8	68	5	1	3	6	2	2	0	0	0	2	1	2	25
7	18	3	20	4	10	0	0	1	0	0	0	16	16	0	0	4	0	134	8	1819	4	0	2	3	4	2	0	2	0	3	1	2	12
3	19	5	16	4	8	33	0	0	0	0	0	17	17	6	10102	5	1	135	10	58	5	1	5	10	1	0	1	0	0	4	0	4	33
6	9	3	14	5	5	33	0	0	0	0	0	17	17	6	12001	3	0	136	10	62	3	2	8	11	2	2	0	1	0	1	3	2	36
5	17	7	13	2	3	13	0	0	0	0	0	17	17	6	1010	3	2	137	9	210	3	1	8	11	2	3	0	2	0	1	2	0	40
5	19	5	9	7	5	13	0	0	0	0	0	17	16	6	10100	3	1	138	10	224	3	2	6	13	4	1	0	2	0	2	1	3	43
2	7	4	2	7	4	66	0	0	0	0	0	17	17	6	20221	6	3	139	10	226	6	3	8	20	0	1	0	1	0	1	1	1	66
4	12	5	5	4	1	60	0	0	0	0	0	16	16	6	11122	7	2	140	10	1738	7	2	7	17	1	1	0	0	1	0	3	2	56
6	4	8	15	2	10	46	0	0	0	0	0	17	17	6	2021	5	3	141	10	1805	5	0	7	11	4	1	0	1	0	4	1	1	36
2	18	7	8	3	7	53	0	0	0	0	0	17	17	6	10212	3	3	142	10	1813	3	1	3	15	1	1	0	0	0	2	2	1	50
8	10	4	18	7	7	26	0	0	0	0	0	17	17	6	10111	5	0	143	10	1816	5	1	8	8	3	3	0	1	0	1	3	2	26
11	8	3	20	3	8	20	0	1	0	0	0	17	17	6	1101	4	0	144	10	1823	4	0	7	4	4	3	0	1	0	3	2	2	13
5	14	8	7	4	4	53	0	0	0	0	0	17	17	6	22110	8	3	145	10	110321	8	1	5	15	0	2	0	2	0	1	2	1	50
10	11	4	12	4	3	46	0	0	0	0	0	17	17	6	122	3	1	146	10	110456	3	2	3	12	1	3	0	0	0	1	2	1	40
10	20	8	17	3	6	60	0	0	0	0	0	17	16	6	2220	5	2	147	10	110569	5	1	6	10	4	3	0	2	0	3	0	1	33
7	16	2	19	5	8	33	0	0	0	0	0	17	17	6	11002	4	0	148	10	111276	4	1	5	6	2	3	0	0	0	3	1	2	20
5	15	4	10	6	7	33	0	0	0	0	0	17	17	6	12001	3	1	149	10	111659	3	2	5	13	0	1	0	1	0	2	1	3	43
3	5	5	6	8	8	20	0	0	0	0	0	17	17	6	20	8	2	150	10	111817	8	3	8	16	1	1	0	2	0	3	0	1	53
6	20	5	11	6	6	33	0	0	0	0	0	17	17	6	2101	3	1	151	10	112552	3	2	5	12	0	2	0	1	0	2	1	2	40
2	1	15	1	8	3	100	0	0	1	1	0	19	19	0	22222	0	3	152	6	21	0	2	0	16	1	0	1	0	1	0	1	0	88
6	2	12	4	5	6	60	0	0	0	0	0	19	19	0	2220	1	3	153	6	22	1	1	1	12	1	0	1	2	0	2	0	0	66
2	10	5	11	1	7	40	0	0	0	0	0	19	19	0	202	3	2	154	6	23	3	0	2	7	2	0	1	0	0	3	0	1	38
2	6	6	5	3	2	73	0	0	1	1	0	19	19	0	22112	2	2	155	6	25	2	1	3	12	0	0	1	0	1	0	2	1	66
3	7	6	7	4	5	40	0	0	0	0	0	20	19	0	2111	3	2	156	6	31	3	0	4	9	0	0	1	1	0	1	2	1	50
4	3	8	2	8	3	80	0	0	0	0	1	19	19	0	22022	1	2	157	6	32	1	2	1	13	1	1	0	0	1	0	1	0	72
7	15	8	13	1	5	13	0	0	0	0	0	19	19	0	101	3	1	158	6	36	3	0	3	5	1	2	0	1	0	1	2	0	27
3	13	3	17	1	10	26	0	0	0	0	0	19	19	0	20001	4	1	159	6	160	4	0	4	4	2	1	0	1	0	3	0	1	22
3	16	3	12	4	15	40	0	0	0	0	0	20	20	0	220	3	1	160	6	166	3	1	2	6	2	1	0	2	0	3	0	0	33
0	8	4	6	2	3	46	0	0	0	0	0	19	19	0	2210	2	2	161	6	169	2	1	4	10	0	0	1	2	0	2	0	1	55
1	12	3	3	5	4	66	0	0	0	0	0	19	19	0	22210	1	2	162	6	175	1	2	2	13	0	0	1	2	0	1	0	1	72
2	11	2	14	4	7	33	0	1	0	0	0	19	19	0	11111	5	0	163	6	1824	5	0	2	5	3	0	1	1	0	1	2	3	27
2	5	4	8	4	6	53	0	0	0	0	0	19	19	0	12102	3	2	164	6	1831	3	0	3	9	1	0	1	0	0	1	1	2	50
5	9	5	9	6	3	33	0	0	0	0	0	19	19	0	10012	3	1	165	6	10029	3	1	3	8	1	1	0	0	0	1	1	1	44
8	14	2	15	0	3	33	0	0	0	0	0	19	19	0	10120	5	1	166	6	100409	5	0	3	5	2	2	0	2	0	1	2	0	27
4	4	11	10	1	3	46	0	0	0	0	0	19	19	0	20012	3	2	167	6	112172	3	0	1	7	3	1	0	0	0	2	1	0	38
7	1	6	8	7	4	60	0	0	0	0	0	20	20	6	2202	3	1	168	8	34	3	3	6	13	4	2	0	0	0	1	0	1	54
7	2	5	11	6	5	46	0	0	0	0	0	19	20	6	12200	3	1	169	8	38	3	2	6	11	4	2	0	2	0	1	1	1	45
1	17	1	16	2	5	20	0	1	0	0	0	20	19	0	11010	5	0	170	6	159	5	0	4	4	1	0	1	2	0	2	1	3	22
6	18	2	18	2	10	6	0	1	0	0	0	20	19	0	10000	4	0	171	6	165	4	0	4	1	2	2	0	2	0	3	0	1	5
9	2	4	15	4	5	20	0	0	0	0	0	20	2076	6	200	5	1	172	8	27	5	1	5	7	1	3	0	2	0	2	1	0	29
6	4	7	7	7	4	60	0	0	0	0	0	20	20	6	11221	3	1	173	8	28	3	2	6	13	4	0	1	1	0	1	1	3	54
1	11	5	5	6	6	60	0	0	1	1	0	20	20	6	12121	8	3	174	8	171	8	0	3	14	0	0	1	1	1	0	4	1	58
5	13	3	13	4	7	60	0	0	0	0	0	20	20	6	20220	3	2	175	8	485	3	1	7	10	3	2	0	2	0	2	1	0	41
5	14	12	1	6	3	53	0	0	0	0	0	20	20	6	20112	6	3	176	8	543	6	2	5	17	0	0	1	0	0	1	1	1	70
9	3	3	14	6	8	53	0	0	0	0	0	19	20	6	12102	5	1	177	8	576	5	1	8	8	3	3	0	0	0	1	2	0	33
5	6	6	9	6	4	33	0	0	0	0	0	20	20	6	10120	3	1	178	8	1832	3	2	3	12	1	1	0	2	0	1	1	2	50
6	9	6	4	11	2	60	0	0	0	0	0	20	20	6	22020	8	1	179	8	10030	8	3	3	14	0	2	0	2	1	0	1	1	58
7	15	1	16	6	7	40	0	0	0	0	0	20	20	6	20002	5	0	180	8	110178	5	2	5	7	1	3	0	0	0	2	0	1	29
3	10	12	2	4	5	60	0	0	0	0	0	19	20	6	2022	6	4	181	8	110329	6	1	3	16	0	0	1	0	0	2	1	0	66
3	7	11	12	4	9	46	0	0	0	0	0	20	19	6	12020	3	3	182	8	110502	3	0	3	10	1	1	0	2	0	3	1	0	41
6	5	5	10	6	6	53	0	0	0	0	0	20	20	6	10212	3	0	183	8	110636	3	3	7	11	3	1	0	0	0	2	0	2	45
3	8	5	3	5	3	66	0	0	0	0	0	19	19	6	1222	7	2	184	8	111235	7	2	8	15	0	0	1	0	0	1	0	3	62
1	14	6	12	2	7	53	0	0	0	0	0	20	2076	6	10122	3	2	185	10	29	3	1	8	12	2	0	1	0	0	4	0	3	40
7	17	5	8	8	3	40	0	0	0	0	0	20	20	6	11021	3	1	186	10	110500	3	3	7	16	3	1	0	1	0	1	1	3	53
3	11	4	1	14	8	60	0	0	0	0	0	20	2076	6	22200	6	2	187	10	110588	6	4	3	19	0	1	0	2	0	2	0	1	63
3	2	12	3	8	4	73	0	0	1	1	1	31	31	0	21221	1	2	188	6	44	1	2	0	14	2	0	1	1	1	0	1	1	77
1	1	8	2	4	2	86	0	0	1	1	0	31	31	0	22122	1	3	189	6	47	1	2	0	16	2	0	1	0	1	0	1	0	88
1	3	6	1	10	1	100	0	0	1	1	0	31	31	0	22222	0	3	190	6	48	0	3	1	18	0	0	1	0	1	0	0	0	100
3	10	6	11	2	2	46	0	0	0	0	0	31	31	0	221	3	1	191	5	54	3	1	3	7	1	1	0	1	0	1	0	1	46
7	12	5	13	1	1	40	0	0	0	0	0	31	31	0	22000	3	1	192	6	55	3	1	3	7	1	2	0	2	0	1	0	1	38
4	13	6	10	3	10	53	0	0	0	0	0	31	31	0	21201	3	2	193	6	189	3	0	3	8	1	0	1	1	0	2	1	1	44
8	9	6	14	5	6	33	0	0	0	0	0	31	350	0	211	3	1	194	6	206	3	0	3	5	1	2	0	1	0	1	2	0	27
10	14	6	8	3	0	40	0	0	0	0	0	31	31	0	2002	3	1	195	6	1746	3	2	3	9	1	3	0	0	1	0	0	0	50
7	15	2	15	5	3	33	0	0	0	0	0	350	350	0	11200	5	0	196	6	1837	5	1	3	5	2	2	0	2	0	1	1	1	27
